detector,category,family,severity,restorer,n,auroc_clean,auroc_degraded,auroc_method,gap_closed,n_pixel_images,pix_auroc_clean,pix_auroc_degraded,pix_auroc_method,pix_gap_closed
padim,carpet,defocus,3,divide_lpres_off,16,0.9375,0.5,0.6171875,0.26785714285714285,16,0.9805406564110744,0.9632725154012816,0.9837554878011248,1.1861712495993135
padim,carpet,defocus,3,divide_lpres_on,16,0.9375,0.5,0.5625,0.14285714285714285,16,0.9805406564110744,0.9632725154012816,0.9638154687882428,0.0314424920814165
padim,carpet,defocus,3,identity,16,0.9375,0.5,0.5,0.0,16,0.9805406564110744,0.9632725154012816,0.9632725154012816,0.0
padim,carpet,defocus,3,restormer_deblur,16,0.9375,0.5,0.75,0.5714285714285714,16,0.9805406564110744,0.9632725154012816,0.9921462411601166,1.6720807261453643
padim,carpet,defocus,3,wiener,16,0.9375,0.5,0.5,0.0,16,0.9805406564110744,0.9632725154012816,0.9257547704223824,-2.172656857366553
padim,carpet,defocus,4,divide_lpres_off,16,0.9375,0.5,0.7265625,0.5178571428571429,16,0.9805406564110744,0.9305159363989464,0.987314344098958,1.1354068085986573
padim,carpet,defocus,4,divide_lpres_on,16,0.9375,0.5,0.546875,0.10714285714285714,16,0.9805406564110744,0.9305159363989464,0.9511542865225092,0.4125630312085545
padim,carpet,defocus,4,identity,16,0.9375,0.5,0.5,0.0,16,0.9805406564110744,0.9305159363989464,0.9305159363989464,0.0
padim,carpet,defocus,4,restormer_deblur,16,0.9375,0.5,0.5,0.0,16,0.9805406564110744,0.9305159363989464,0.9764539392142516,0.9183060455744247
padim,carpet,defocus,4,wiener,16,0.9375,0.5,0.5,0.0,16,0.9805406564110744,0.9305159363989464,0.892824686766251,-0.7534524855622816
padim,carpet,mixed,2,divide_lpres_off,16,0.9375,0.8125,0.59375,-1.75,16,0.9805406564110744,0.9501658298912248,0.8614859623031548,-2.919518487788514
padim,carpet,mixed,2,divide_lpres_on,16,0.9375,0.8125,0.765625,-0.375,16,0.9805406564110744,0.9501658298912248,0.9102527428212976,-1.314018601681372
padim,carpet,mixed,2,identity,16,0.9375,0.8125,0.8125,0.0,16,0.9805406564110744,0.9501658298912248,0.9501658298912248,0.0
padim,carpet,mixed,2,restormer_deblur,16,0.9375,0.8125,0.8125,0.0,16,0.9805406564110744,0.9501658298912248,0.932707710879074,-0.5747561718827245
padim,carpet,mixed,2,wiener,16,0.9375,0.8125,0.75,-0.5,16,0.9805406564110744,0.9501658298912248,0.907469080337966,-1.405662334412241
padim,carpet,mixed,3,divide_lpres_off,16,0.9375,0.625,0.46875,-0.5,16,0.9805406564110744,0.8498343623018682,0.7220625869920122,-0.9775487567806144
padim,carpet,mixed,3,divide_lpres_on,16,0.9375,0.625,0.625,0.0,16,0.9805406564110744,0.8498343623018682,0.8333645211108675,-0.1260064888477367
padim,carpet,mixed,3,identity,16,0.9375,0.625,0.625,0.0,16,0.9805406564110744,0.8498343623018682,0.8498343623018682,0.0
padim,carpet,mixed,3,restormer_deblur,16,0.9375,0.625,0.625,0.0,16,0.9805406564110744,0.8498343623018682,0.8472294018153185,-0.0199298779320696
padim,carpet,mixed,3,wiener,16,0.9375,0.625,0.625,0.0,16,0.9805406564110744,0.8498343623018682,0.8055505843807386,-0.3388037142582444
padim,carpet,mixed,4,divide_lpres_off,16,0.9375,0.5625,0.4375,-0.3333333333333333,16,0.9805406564110744,0.7801397762845096,0.6178031311144639,-0.8100595419916348
padim,carpet,mixed,4,divide_lpres_on,16,0.9375,0.5625,0.5625,0.0,16,0.9805406564110744,0.7801397762845096,0.7535184840909529,-0.1328401959948668
padim,carpet,mixed,4,identity,16,0.9375,0.5625,0.5625,0.0,16,0.9805406564110744,0.7801397762845096,0.7801397762845096,0.0
padim,carpet,mixed,4,restormer_deblur,16,0.9375,0.5625,0.5,-0.16666666666666666,16,0.9805406564110744,0.7801397762845096,0.7778572153398612,-0.011389974650844
padim,carpet,mixed,4,wiener,16,0.9375,0.5625,0.5,-0.16666666666666666,16,0.9805406564110744,0.7801397762845096,0.7367351651132779,-0.2165889248780703
padim,carpet,motion,2,divide_lpres_off,16,0.9375,0.5,0.625,0.2857142857142857,16,0.9805406564110744,0.9377953390266756,0.9670283802797328,0.683888740143652
padim,carpet,motion,2,divide_lpres_on,16,0.9375,0.5,0.5625,0.14285714285714285,16,0.9805406564110744,0.9377953390266756,0.9332307337042496,-0.1067860903073371
padim,carpet,motion,2,identity,16,0.9375,0.5,0.5,0.0,16,0.9805406564110744,0.9377953390266756,0.9377953390266756,0.0
padim,carpet,motion,2,restormer_deblur,16,0.9375,0.5,0.5625,0.14285714285714285,16,0.9805406564110744,0.9377953390266756,0.9562226455486,0.4310953257455511
padim,carpet,motion,2,wiener,16,0.9375,0.5,0.5625,0.14285714285714285,16,0.9805406564110744,0.9377953390266756,0.9121325846904654,-0.6003641078490772
padim,carpet,motion,3,divide_lpres_off,16,0.9375,0.5,0.5078125,0.017857142857142856,16,0.9805406564110744,0.8882004396552748,0.9618532872106108,0.7976248068608758
padim,carpet,motion,3,divide_lpres_on,16,0.9375,0.5,0.5625,0.14285714285714285,16,0.9805406564110744,0.8882004396552748,0.9189244421032166,0.3327261244057241
padim,carpet,motion,3,identity,16,0.9375,0.5,0.5,0.0,16,0.9805406564110744,0.8882004396552748,0.8882004396552748,0.0
padim,carpet,motion,3,restormer_deblur,16,0.9375,0.5,0.625,0.2857142857142857,16,0.9805406564110744,0.8882004396552748,0.9509512464072564,0.6795609644054733
padim,carpet,motion,3,wiener,16,0.9375,0.5,0.5,0.0,16,0.9805406564110744,0.8882004396552748,0.8874146976917611,-0.0085092064012772
padim,carpet,motion,4,divide_lpres_off,16,0.9375,0.5,0.5625,0.14285714285714285,16,0.9805406564110744,0.8492931952523054,0.9166787282020724,0.5134235158137753
padim,carpet,motion,4,divide_lpres_on,16,0.9375,0.5,0.5,0.0,16,0.9805406564110744,0.8492931952523054,0.8532491824158744,0.0301414376220467
padim,carpet,motion,4,identity,16,0.9375,0.5,0.5,0.0,16,0.9805406564110744,0.8492931952523054,0.8492931952523054,0.0
padim,carpet,motion,4,restormer_deblur,16,0.9375,0.5,0.5,0.0,16,0.9805406564110744,0.8492931952523054,0.9141662934661802,0.4942807856328609
padim,carpet,motion,4,wiener,16,0.9375,0.5,0.5,0.0,16,0.9805406564110744,0.8492931952523054,0.8138766399153669,-0.2698456413880297
padim,carpet,noise,2,divide_lpres_off,16,0.9375,0.765625,0.7734375,0.045454545454545456,16,0.9805406564110744,0.945447039807394,0.8836055190552036,-1.7621871649929746
padim,carpet,noise,2,divide_lpres_on,16,0.9375,0.765625,0.6640625,-0.5909090909090909,16,0.9805406564110744,0.945447039807394,0.8911291051932726,-1.547800992629082
padim,carpet,noise,2,identity,16,0.9375,0.765625,0.765625,0.0,16,0.9805406564110744,0.945447039807394,0.945447039807394,0.0
padim,carpet,noise,2,restormer_deblur,16,0.9375,0.765625,0.765625,0.0,16,0.9805406564110744,0.945447039807394,0.9434348047751568,-0.0573390612589634
padim,carpet,noise,2,wiener,16,0.9375,0.765625,0.6875,-0.45454545454545453,16,0.9805406564110744,0.945447039807394,0.8917364109018505,-1.5304956884925391
padim,carpet,noise,3,divide_lpres_off,16,0.9375,0.453125,0.703125,0.5161290322580645,16,0.9805406564110744,0.9265593294394951,0.8265503608630858,-1.852658580050528
