restorer,detector,family,n_cells,auroc_clean,auroc_degraded,auroc_method,gap_closed_agg,pix_auroc_clean,pix_auroc_degraded,pix_auroc_method,pix_gap_closed_agg
restormer_deblur,patchcore,mixed,9,0.78125,0.5364583333333334,0.5364583333333334,0.0,0.962917093161668,0.7150446134814478,0.7145483405417885,-0.002002130048077543
wiener,patchcore,mixed,9,0.78125,0.5364583333333334,0.5364583333333334,0.0,0.962917093161668,0.7150446134814478,0.7119553165053751,-0.012463251184875991
divide_lpres_off,patchcore,motion,9,0.78125,0.5355902777777778,0.5633680555555556,0.11307420494699646,0.962917093161668,0.7831039620051299,0.8332099947912377,0.2786561385357744
divide_lpres_on,patchcore,motion,9,0.78125,0.5355902777777778,0.5572916666666666,0.08833922261484099,0.962917093161668,0.7831039620051299,0.851845515325006,0.382294401291707
identity,patchcore,motion,9,0.78125,0.5355902777777778,0.5355902777777778,0.0,0.962917093161668,0.7831039620051299,0.7831039620051299,0.0
restormer_deblur,patchcore,motion,9,0.78125,0.5355902777777778,0.5486111111111112,0.053003533568904596,0.962917093161668,0.7831039620051299,0.7875432606979991,0.02468840103231583
wiener,patchcore,motion,9,0.78125,0.5355902777777778,0.5034722222222222,-0.13074204946996465,0.962917093161668,0.7831039620051299,0.8327404179984227,0.2760446674502382
divide_lpres_off,patchcore,noise,9,0.78125,0.5642361111111112,0.6553819444444444,0.42,0.962917093161668,0.8640384139236378,0.8230717287705382,-0.4143126250147456
divide_lpres_on,patchcore,noise,9,0.78125,0.5642361111111112,0.59375,0.13599999999999998,0.962917093161668,0.8640384139236378,0.8687143280144406,0.04728940684519488
identity,patchcore,noise,9,0.78125,0.5642361111111112,0.5642361111111112,0.0,0.962917093161668,0.8640384139236378,0.8640384139236378,0.0
restormer_deblur,patchcore,noise,9,0.78125,0.5642361111111112,0.5642361111111112,0.0,0.962917093161668,0.8640384139236378,0.8640542918732678,0.0001605801144637728
wiener,patchcore,noise,9,0.78125,0.5642361111111112,0.5625,-0.008,0.962917093161668,0.8640384139236378,0.8562592650096821,-0.07867367337329563
