category,image,anomaly_kind,area_frac,family,severity,restorer,tier,drr,acg,dremr,psnr_normal,psnr_full,ssim_full,psnr_degraded
bottle,5,blob,0.017852783203125,defocus,2,wiener_hqs_rawpixel,classical,0.9947564005851746,0.958672755489643,0.6075463201843665,43.39567781316476,43.41082959005841,0.9903622269630432,35.764780815932234
bottle,5,blob,0.017852783203125,defocus,2,wiener_hqs_vst,classical,0.9599862098693848,1.0532591389984698,0.35001921359811317,37.70159733181744,37.64694310203779,0.9741786122322083,35.764780815932234
bottle,5,blob,0.017852783203125,defocus,2,wiener_hqs_vst_nofloor,classical,0.6263983249664307,1.1296162841176403,-3.2182566663478998,25.758512821603613,25.58528460960592,0.6118124127388,35.764780815932234
bottle,5,blob,0.017852783203125,defocus,3,identity,classical,0.987781822681427,1.0,0.0,32.575738730362374,32.588854692169264,0.9106931686401367,32.588854692169264
bottle,5,blob,0.017852783203125,defocus,3,wiener,classical,0.6437274217605591,1.016549057977232,-7.112892884695002,13.435641458496871,13.492343893499568,0.515381932258606,32.588854692169264
bottle,5,blob,0.017852783203125,defocus,3,wiener_dbde_nsr,classical,0.6437274217605591,1.016549057977232,-7.112892884695002,13.435641458496871,13.492343893499568,0.515381932258606,32.588854692169264
bottle,5,blob,0.017852783203125,defocus,3,wiener_hqs_rawpixel,classical,0.9886334538459778,0.92716795323515,0.637266874651693,40.73762497209499,40.74680248317685,0.9805018305778503,32.588854692169264
bottle,5,blob,0.017852783203125,defocus,3,wiener_hqs_vst,classical,0.9311269521713257,1.0388443406670966,0.36069460060917446,35.680453540543155,35.59260477340261,0.9521871209144592,32.588854692169264
bottle,5,blob,0.017852783203125,defocus,3,wiener_hqs_vst_nofloor,classical,0.6011013388633728,0.8876941096936869,-4.007750647219539,20.036347640895954,19.92633406608234,0.40019211173057556,32.588854692169264
bottle,5,blob,0.017852783203125,defocus,4,identity,classical,0.9743726253509521,1.0,0.0,29.113995113073805,29.09625299549421,0.8437573313713074,29.09625299549421
bottle,5,blob,0.017852783203125,defocus,4,wiener,classical,0.4435952603816986,1.0956920221027395,-5.712008060931658,11.93474928878661,11.991601348143725,0.4829586446285248,29.09625299549421
bottle,5,blob,0.017852783203125,defocus,4,wiener_dbde_nsr,classical,0.4435952603816986,1.0956920221027395,-5.712008060931658,11.93474928878661,11.991601348143725,0.4829586446285248,29.09625299549421
bottle,5,blob,0.017852783203125,defocus,4,wiener_hqs_rawpixel,classical,0.9619026184082031,0.8663571160547638,0.6025986609221565,36.9935955385592,36.97899967706007,0.9533448219299316,29.09625299549421
bottle,5,blob,0.017852783203125,defocus,4,wiener_hqs_vst,classical,0.8858239054679871,1.0136193094168988,0.2886559581213136,32.45030305660889,32.37579818209901,0.8955835700035095,29.09625299549421
bottle,5,blob,0.017852783203125,defocus,4,wiener_hqs_vst_nofloor,classical,0.5939702391624451,0.7765660121199953,-5.101539812582185,15.03601138506027,15.000038093617436,0.16685056686401367,29.09625299549421
bottle,5,blob,0.017852783203125,motion,2,identity,classical,0.9891594052314758,1.0,0.0,33.65083445841382,33.71452696166144,0.9308673739433289,33.71452696166144
bottle,5,blob,0.017852783203125,motion,2,wiener,classical,0.9603776335716248,0.9147064295610575,-2.495303333200642,23.25354685794852,23.315006907567913,0.7645403742790222,33.71452696166144
bottle,5,blob,0.017852783203125,motion,2,wiener_dbde_nsr,classical,0.9891594052314758,1.0,0.0,33.65083445841382,33.71452696166144,0.9308673739433289,33.71452696166144
bottle,5,blob,0.017852783203125,motion,2,wiener_hqs_rawpixel,classical,0.9891594052314758,1.0,0.0,33.65083445841382,33.71452696166144,0.9308673739433289,33.71452696166144
bottle,5,blob,0.017852783203125,motion,2,wiener_hqs_vst,classical,0.9891588091850281,1.0,-1.4116115212292613e-06,33.65083445841382,33.71452696166144,0.9308649897575378,33.71452696166144
bottle,5,blob,0.017852783203125,motion,2,wiener_hqs_vst_nofloor,classical,0.9891588091850281,1.0,-1.4116115212292613e-06,33.65083445841382,33.71452696166144,0.9308649897575378,33.71452696166144
bottle,5,blob,0.017852783203125,motion,3,identity,classical,0.9741045236587524,1.0,0.0,29.336245083925114,29.407740923240418,0.8624189496040344,29.407740923240418
bottle,5,blob,0.017852783203125,motion,3,wiener,classical,0.6436977982521057,0.9860266329745591,-4.898099183589204,13.417789437642709,13.473878989859694,0.5104179978370667,29.407740923240418
bottle,5,blob,0.017852783203125,motion,3,wiener_dbde_nsr,classical,0.6436977982521057,0.9860266329745591,-4.898099183589204,13.417789437642709,13.473878989859694,0.5104179978370667,29.407740923240418
