restorer,detector,category,family,severity,n_pixel_images,pix_auroc_clean,pix_auroc_degraded,pix_auroc_method,pix_gap_closed
divide_lpres_on,padim,bottle,defocus,2,16,0.9865191025913643,0.9861414324527572,0.9503472993465186,-94.77618018265939
divide_lpres_off,padim,bottle,defocus,2,16,0.9865191025913643,0.9861414324527572,0.9167875501771806,-183.6361289546461
identity,padim,bottle,defocus,3,16,0.9865191025913643,0.9847269382362043,0.9847269382362043,0.0
wiener,padim,bottle,defocus,3,16,0.9865191025913643,0.9847269382362043,0.8631719237540151,-67.82581861546592
restormer_deblur,padim,bottle,defocus,3,16,0.9865191025913643,0.9847269382362043,0.9863324463360451,0.8958486955831974
divide_lpres_on,padim,bottle,defocus,3,16,0.9865191025913643,0.9847269382362043,0.9047036470498956,-44.651759173707056
divide_lpres_off,padim,bottle,defocus,3,16,0.9865191025913643,0.9847269382362043,0.886637604532302,-54.7323315640558
identity,padim,bottle,defocus,4,16,0.9865191025913643,0.9822762234080611,0.9822762234080611,0.0
wiener,padim,bottle,defocus,4,16,0.9865191025913643,0.9822762234080611,0.7611394390531345,-52.1195100782397
restormer_deblur,padim,bottle,defocus,4,16,0.9865191025913643,0.9822762234080611,0.985454316447975,0.7490416065629366
divide_lpres_on,padim,bottle,defocus,4,16,0.9865191025913643,0.9822762234080611,0.8486583477811551,-31.49226500550023
divide_lpres_off,padim,bottle,defocus,4,16,0.9865191025913643,0.9822762234080611,0.8515553167271298,-30.809481258705134
identity,padim,bottle,motion,2,16,0.9865191025913643,0.984798587392808,0.984798587392808,0.0
wiener,padim,bottle,motion,2,16,0.9865191025913643,0.984798587392808,0.941788349208567,-24.998464541511098
restormer_deblur,padim,bottle,motion,2,16,0.9865191025913643,0.984798587392808,0.9863622772801921,0.9088497960937408
divide_lpres_on,padim,bottle,motion,2,16,0.9865191025913643,0.984798587392808,0.9320154865966441,-30.678659996990536
divide_lpres_off,padim,bottle,motion,2,16,0.9865191025913643,0.984798587392808,0.9134395229919015,-41.475404844307064
identity,padim,bottle,motion,3,16,0.9865191025913643,0.9791782192398626,0.9791782192398626,0.0
wiener,padim,bottle,motion,3,16,0.9865191025913643,0.9791782192398626,0.8333041464003158,-19.87146040261014
restormer_deblur,padim,bottle,motion,3,16,0.9865191025913643,0.9791782192398626,0.9850183896996758,0.7955678056944587
divide_lpres_on,padim,bottle,motion,3,16,0.9865191025913643,0.9791782192398626,0.8428511956738449,-18.570929006538297
divide_lpres_off,padim,bottle,motion,3,16,0.9865191025913643,0.9791782192398626,0.8366877474672878,-19.41053480211278
identity,padim,bottle,motion,4,16,0.9865191025913643,0.9652027494699806,0.9652027494699806,0.0
wiener,padim,bottle,motion,4,16,0.9865191025913643,0.9652027494699806,0.8609871570516541,-4.888997279454043
restormer_deblur,padim,bottle,motion,4,16,0.9865191025913643,0.9652027494699806,0.9702769298709017,0.23804167495381298
divide_lpres_on,padim,bottle,motion,4,16,0.9865191025913643,0.9652027494699806,0.909271967696317,-2.6238438374130775
divide_lpres_off,padim,bottle,motion,4,16,0.9865191025913643,0.9652027494699806,0.8924764561679118,-3.4117605806179285
identity,padim,bottle,noise,2,16,0.9865191025913643,0.954144481437523,0.954144481437523,0.0
wiener,padim,bottle,noise,2,16,0.9865191025913643,0.954144481437523,0.9494397986779781,-0.14532008690352202
restormer_deblur,padim,bottle,noise,2,16,0.9865191025913643,0.954144481437523,0.954144481437523,0.0
divide_lpres_on,padim,bottle,noise,2,16,0.9865191025913643,0.954144481437523,0.9641355663034265,0.3086085492221433
divide_lpres_off,padim,bottle,noise,2,16,0.9865191025913643,0.954144481437523,0.9357409954911784,-0.5684540943009895
identity,padim,bottle,noise,3,16,0.9865191025913643,0.9362361731011892,0.9362361731011892,0.0
wiener,padim,bottle,noise,3,16,0.9865191025913643,0.9362361731011892,0.9296632477016243,-0.13071882378788585
restormer_deblur,padim,bottle,noise,3,16,0.9865191025913643,0.9362361731011892,0.9362361731011892,0.0
divide_lpres_on,padim,bottle,noise,3,16,0.9865191025913643,0.9362361731011892,0.9487450091674625,0.24876903937582673
divide_lpres_off,padim,bottle,noise,3,16,0.9865191025913643,0.9362361731011892,0.903513525864262,-0.6507705014148181
identity,padim,bottle,noise,4,16,0.9865191025913643,0.9009019819882824,0.9009019819882824,0.0
wiener,padim,bottle,noise,4,16,0.9865191025913643,0.9009019819882824,0.8894666850842425,-0.1335632035215659
restormer_deblur,padim,bottle,noise,4,16,0.9865191025913643,0.9009019819882824,0.9009019819882824,0.0
divide_lpres_on,padim,bottle,noise,4,16,0.9865191025913643,0.9009019819882824,0.9213097190003856,0.23836046889164575
divide_lpres_off,padim,bottle,noise,4,16,0.9865191025913643,0.9009019819882824,0.8616558548481826,-0.4583911122407808
identity,padim,bottle,mixed,2,16,0.9865191025913643,0.9274200260512324,0.9274200260512324,0.0
