category,image,anomaly_kind,area_frac,family,severity,restorer,tier,drr,acg,dremr,psnr_normal,psnr_full,ssim_full,psnr_degraded,drr_identity,drr_rel
bottle,2,blob,0.0081939697265625,jpeg,4,clahe,classical,1.2289392948150635,1.1860583371514761,-4.465782849333848,22.22490976762494,22.22395863987229,0.8242113590240479,34.459607831993,0.9907259345054626,1.2404432467274706
bottle,2,blob,0.0081939697265625,jpeg,4,msrcr,classical,1.79802668094635,1.2811069539354811,-8.10118727815507,20.147528104527147,20.134294495012686,0.790250301361084,34.459607831993,0.9907259345054626,1.8148577909630124
bottle,2,blob,0.0081939697265625,jpeg,4,wiener,classical,1.566230297088623,0.03422895506906007,-15.124946860745279,12.209147954638976,12.22970692196518,0.3051720857620239,34.459607831993,0.9907259345054626,1.5808915892268764
bottle,2,blob,0.0081939697265625,jpeg,4,classical_pipeline,classical,1.472579002380371,0.07725630280021142,-38.29669099083924,7.765404969310405,7.789541075837491,0.16345520317554474,34.459607831993,0.9907259345054626,1.48636363609017
bottle,2,blob,0.0081939697265625,jpeg,5,identity,classical,1.052478313446045,1.0,0.0,33.50271770977505,33.49359507813043,0.92928546667099,33.49359507813043,1.052478313446045,1.0
bottle,2,blob,0.0081939697265625,jpeg,5,gaussian,classical,1.0385570526123047,1.0453877585440603,-0.07383991888653951,33.00079807030017,33.00385730749358,0.9213479161262512,33.49359507813043,1.052478313446045,0.9867728763092904
bottle,2,blob,0.0081939697265625,jpeg,5,bilateral,classical,1.0458948612213135,0.9827753973550171,0.0222994604303286,33.839785830044946,33.830987320611435,0.9330849647521973,33.49359507813043,1.052478313446045,0.9937448096168596
bottle,2,blob,0.0081939697265625,jpeg,5,nlm,classical,1.061908483505249,1.003917817115552,-0.08017401137703506,33.66452524457409,33.6536569353902,0.9359793663024902,33.49359507813043,1.052478313446045,1.0089599661472621
bottle,2,blob,0.0081939697265625,jpeg,5,clahe,classical,1.2880299091339111,1.158590490597786,-4.199741053746094,22.100362386243212,22.09805379040408,0.8113384246826172,33.49359507813043,1.052478313446045,1.2238066026430687
bottle,2,blob,0.0081939697265625,jpeg,5,msrcr,classical,1.8914916515350342,1.2591374090407959,-8.053719971914486,19.926246580566975,19.913424770306605,0.7786402702331543,33.49359507813043,1.052478313446045,1.7971787421841268
bottle,2,blob,0.0081939697265625,jpeg,5,wiener,classical,0.425786554813385,0.06837158185192814,-14.331389480908824,12.256881210923826,12.279659434520141,0.33108580112457275,33.49359507813043,1.052478313446045,0.4045561313460858
bottle,2,blob,0.0081939697265625,jpeg,5,classical_pipeline,classical,0.46456336975097656,0.12182975415560841,-37.27682348869196,7.77049428108807,7.794962951271542,0.1705041527748108,33.49359507813043,1.052478313446045,0.4413994700089298
bottle,2,blob,0.0081939697265625,mixed,1,identity,classical,0.9925004243850708,1.0,0.0,36.46652135237447,36.482794748271104,0.9588411450386047,36.482794748271104,0.9925004243850708,1.0
bottle,2,blob,0.0081939697265625,mixed,1,gaussian,classical,0.9808751940727234,1.0315812450126656,-0.6961783560087198,33.48852091825366,33.49778758723464,0.9269655346870422,36.482794748271104,0.9925004243850708,0.9882869266080666
bottle,2,blob,0.0081939697265625,mixed,1,bilateral,classical,0.9843791723251343,0.9822642067968703,-0.2975489286201498,35.357446898833565,35.36572184193425,0.9397623538970947,36.482794748271104,0.9925004243850708,0.9918173817759642
bottle,2,blob,0.0081939697265625,mixed,1,nlm,classical,0.9920187592506409,0.9997143793829001,-0.20864182167344358,36.106721017412234,36.119194886744,0.9591272473335266,36.482794748271104,0.9925004243850708,0.9995146952861724
bottle,2,blob,0.0081939697265625,mixed,1,clahe,classical,1.1096677780151367,1.18532799436716,-5.971340704310618,23.455176699783845,23.450754441471826,0.8642719388008118,36.482794748271104,0.9925004243850708,1.1180526987710457
bottle,2,blob,0.0081939697265625,mixed,1,msrcr,classical,1.8772497177124023,1.2953141367483378,-11.630639468393765,21.10225933889817,21.07862397576463,0.8304131627082825,36.482794748271104,0.9925004243850708,1.8914346750788553
bottle,2,blob,0.0081939697265625,mixed,1,wiener,classical,0.3773401975631714,0.06429075229793801,-21.281544620153763,12.448038467850589,12.47279445791019,0.35582491755485535,36.482794748271104,0.9925004243850708,0.3801914722575179
bottle,2,blob,0.0081939697265625,mixed,1,classical_pipeline,classical,0.40786728262901306,0.11637158062084493,-56.754707085294335,7.863433859553029,7.888648239599342,0.1878514289855957,36.482794748271104,0.9925004243850708,0.4109492274340515
bottle,2,blob,0.0081939697265625,mixed,2,identity,classical,0.6213520169258118,1.0,0.0,12.159465731263175,12.189788531352313,0.7774049639701843,12.189788531352313,0.6213520169258118,1.0
bottle,2,blob,0.0081939697265625,mixed,2,gaussian,classical,0.6149055361747742,1.0251878216599477,-9.98547248287629e-05,12.13358483067195,12.163894057673602,0.7616305351257324,12.189788531352313,0.6213520169258118,0.9896250747154052
bottle,2,blob,0.0081939697265625,mixed,2,bilateral,classical,0.6173741221427917,0.9681841143038806,-0.0004043518423084702,12.150701445340545,12.180880030509574,0.7518744468688965,12.189788531352313,0.6213520169258118,0.993598001334733
bottle,2,blob,0.0081939697265625,mixed,2,nlm,classical,0.6268530488014221,1.0015974518069046,-0.006032017640204224,12.138427039941535,12.168584664650881,0.7754311561584473,12.189788531352313,0.6213520169258118,1.008853325853559
bottle,2,blob,0.0081939697265625,mixed,2,clahe,classical,0.9170336127281189,1.1842179962602402,0.3325243057686209,14.735201118400337,14.768447608890416,0.8343833088874817,12.189788531352313,0.6213520169258118,1.475868087248216
bottle,2,blob,0.0081939697265625,mixed,2,msrcr,classical,1.8853857517242432,1.3051162409250021,0.6119012332133258,20.609144361436357,20.60120634933231,0.796120822429657,12.189788531352313,0.6213520169258118,3.034327885587848
bottle,2,blob,0.0081939697265625,mixed,2,wiener,classical,0.02072666771709919,0.06636243067192309,-0.4836918773189036,8.253978184666991,8.28512133375664,0.17661817371845245,12.189788531352313,0.6213520169258118,0.03335736772795237
bottle,2,blob,0.0081939697265625,mixed,2,classical_pipeline,classical,0.02967916987836361,0.03161979810386701,-0.7372618892708265,6.567948292589802,6.60187601966561,0.17484217882156372,12.189788531352313,0.6213520169258118,0.047765467995426567
bottle,2,blob,0.0081939697265625,mixed,3,identity,classical,0.9617002010345459,1.0,0.0,24.775393116181213,24.78922938722304,0.553016722202301,24.78922938722304,0.9617002010345459,1.0
bottle,2,blob,0.0081939697265625,mixed,3,gaussian,classical,0.9478263258934021,1.0588837659770562,0.15129411374639234,26.493338898095175,26.50670261558741,0.789888322353363,24.78922938722304,0.9617002010345459,0.9855735965052113
bottle,2,blob,0.0081939697265625,mixed,3,bilateral,classical,0.9585853219032288,0.9963491142249122,0.10443553281956308,25.76195949908398,25.773070095002623,0.6885356903076172,24.78922938722304,0.9617002010345459,0.9967610705207649
bottle,2,blob,0.0081939697265625,mixed,3,nlm,classical,0.9651985168457031,0.9995806942727128,-0.005809015168003917,25.042449389893548,25.054898905260956,0.6021857857704163,24.78922938722304,0.9617002010345459,1.0036376365601192
bottle,2,blob,0.0081939697265625,mixed,3,clahe,classical,1.2845568656921387,1.1767134217486233,-1.5461554490890301,17.40433450508317,17.430748588471946,0.32349035143852234,24.78922938722304,0.9617002010345459,1.3357144610246319
bottle,2,blob,0.0081939697265625,mixed,3,msrcr,classical,1.7883130311965942,1.3418974079828505,-1.6678704312250785,17.243959259000327,17.257472464172086,0.4513307511806488,24.78922938722304,0.9617002010345459,1.8595327621568782
bottle,2,blob,0.0081939697265625,mixed,3,wiener,classical,0.1498226672410965,0.39340177767844375,-4.324296453716385,9.768777658186549,9.793522536370858,0.05759383365511894,24.78922938722304,0.9617002010345459,0.1557893687449844
bottle,2,blob,0.0081939697265625,mixed,3,classical_pipeline,classical,0.1469814032316208,0.26594055699950375,-7.473673956100116,7.175923138374874,7.197891898864439,0.06027785316109657,24.78922938722304,0.9617002010345459,0.15283495113498574
bottle,2,blob,0.0081939697265625,mixed,4,identity,classical,0.9626381397247314,1.0,0.0,21.616300337171282,21.639340549575472,0.39358648657798767,21.639340549575472,0.9626381397247314,1.0
bottle,2,blob,0.0081939697265625,mixed,4,gaussian,classical,0.9479175806045532,1.065695970724707,0.13931670489782488,23.084498211849652,23.11181371555959,0.6472883224487305,21.639340549575472,0.9626381397247314,0.9847081073222513
bottle,2,blob,0.0081939697265625,mixed,4,bilateral,classical,0.9617137312889099,0.998510177003184,0.07651398300634416,22.25820563491385,22.282964419666985,0.501885712146759,21.639340549575472,0.9626381397247314,0.9990397134731376
bottle,2,blob,0.0081939697265625,mixed,4,nlm,classical,0.9606608748435974,0.9974336525708452,-0.006596285292934878,21.65899030244544,21.68237252328352,0.40195393562316895,21.639340549575472,0.9626381397247314,0.9979459936194722
bottle,2,blob,0.0081939697265625,mixed,4,clahe,classical,1.0447213649749756,1.1181608959151823,-1.190507355721139,15.651597054458044,15.676787210929056,0.2020471841096878,21.639340549575472,0.9626381397247314,1.0852690350225642
bottle,2,blob,0.0081939697265625,mixed,4,msrcr,classical,1.6900098323822021,1.2427856453995072,-1.2545829340027992,15.4762985928962,15.488751324424586,0.3238651752471924,21.639340549575472,0.9626381397247314,1.7556024041032328
bottle,2,blob,0.0081939697265625,mixed,4,wiener,classical,0.18963545560836792,0.0048181038499918415,-3.1476111653747347,9.045582331629024,9.064745295169942,0.04621785879135132,21.639340549575472,0.9626381397247314,0.196995576824532
bottle,2,blob,0.0081939697265625,mixed,4,classical_pipeline,classical,0.15944904088974,0.16474726681645308,-4.897624154337898,7.160943060984195,7.172694762832873,0.052472073584795,21.639340549575472,0.9626381397247314,0.16563756858349163
bottle,2,blob,0.0081939697265625,mixed,5,identity,classical,1.9845952987670898,1.0,0.0,9.730902823890355,9.731794027404932,0.6271944046020508,9.731794027404932,1.9845952987670898,1.0
bottle,2,blob,0.0081939697265625,mixed,5,gaussian,classical,1.959251046180725,1.0778535448429345,0.00012388230530879785,9.783206061092104,9.78404679540116,0.6629499793052673,9.731794027404932,1.9845952987670898,0.9872295109223983
bottle,2,blob,0.0081939697265625,mixed,5,bilateral,classical,1.9821743965148926,0.999719862139245,-0.0007281245699786165,9.731076183625335,9.732104014428684,0.6395547389984131,9.731794027404932,1.9845952987670898,0.9987801531860419
bottle,2,blob,0.0081939697265625,mixed,5,nlm,classical,1.9748862981796265,0.9911606787941495,-0.00013959332653601386,9.777998121759504,9.778974077133533,0.6342381834983826,9.731794027404932,1.9845952987670898,0.9951078184083703
bottle,2,blob,0.0081939697265625,mixed,5,clahe,classical,2.0080437660217285,0.9309189031020028,0.2591497436093766,11.655776771409021,11.66909114681562,0.5833439230918884,9.731794027404932,1.9845952987670898,1.011815238738702
bottle,2,blob,0.0081939697265625,mixed,5,msrcr,classical,2.975480794906616,1.0166253036877717,0.1162086452512806,10.958446667762122,10.965048536782618,0.5751912593841553,9.731794027404932,1.9845952987670898,1.4992884427142925
bottle,2,blob,0.0081939697265625,mixed,5,wiener,classical,2.304090976715088,0.07781348877802184,-0.0997712451231123,8.554186727868593,8.527856493049816,0.2345462590456009,9.731794027404932,1.9845952987670898,1.1609878236366284
bottle,2,blob,0.0081939697265625,mixed,5,classical_pipeline,classical,1.679023265838623,0.12269459100551246,-0.5174968406400418,7.327119346500384,7.3018240075697065,0.17854328453540802,9.731794027404932,1.9845952987670898,0.8460280374954529
bottle,3,texture,0.005035400390625,defocus,1,identity,classical,0.9548645615577698,1.0,0.0,39.10066251925734,38.85796736773054,0.9796239733695984,38.85796736773054,0.9548645615577698,1.0
bottle,3,texture,0.005035400390625,defocus,1,gaussian,classical,0.9113497734069824,0.8906042709590019,-1.0653209996784696,34.013063908789206,33.8614626041283,0.9394389986991882,38.85796736773054,0.9548645615577698,0.9544283138125923
bottle,3,texture,0.005035400390625,defocus,1,bilateral,classical,0.9604329466819763,1.0104393203980777,-0.4630099611978411,36.422012636969306,36.31623775827877,0.9476048946380615,38.85796736773054,0.9548645615577698,1.0058315968027154
bottle,3,texture,0.005035400390625,defocus,1,nlm,classical,0.9448441863059998,0.9760742528026164,-0.47524177210052976,37.16313187938076,37.00143514525091,0.9694110751152039,38.85796736773054,0.9548645615577698,0.989505972202568
bottle,3,texture,0.005035400390625,defocus,1,clahe,classical,1.0452256202697754,1.0171336358061556,-7.171976600081788,23.690907325542007,23.6925681943754,0.8821317553520203,38.85796736773054,0.9548645615577698,1.094632330437094
bottle,3,texture,0.005035400390625,defocus,1,msrcr,classical,0.7166352868080139,0.6116830628579674,-13.552652937632475,21.66198767272534,21.67052692742972,0.8404542803764343,38.85796736773054,0.9548645615577698,0.7505098792638113
bottle,3,texture,0.005035400390625,defocus,1,wiener,classical,0.5522723197937012,0.006338412725977859,-21.30033901162192,13.727492159191883,13.713245869954324,0.39644762873649597,38.85796736773054,0.9548645615577698,0.5783776485460116
bottle,3,texture,0.005035400390625,defocus,1,classical_pipeline,classical,0.3219738304615021,0.29930315351965336,-66.62396556191332,8.084882504396727,8.095228604044898,0.19813422858715057,38.85796736773054,0.9548645615577698,0.33719319307047346
bottle,3,texture,0.005035400390625,defocus,2,identity,classical,0.9150198698043823,1.0,0.0,34.046287462063205,33.88445706339201,0.9375231862068176,33.88445706339201,0.9150198698043823,1.0
bottle,3,texture,0.005035400390625,defocus,2,gaussian,classical,0.887652575969696,0.9280723144500612,-0.3526089750159649,32.19733086570785,32.07171032005692,0.9138118624687195,33.88445706339201,0.9150198698043823,0.9700910387437411
bottle,3,texture,0.005035400390625,defocus,2,bilateral,classical,0.9193118214607239,1.0111746758498446,-0.10869730607611094,33.229258706672255,33.10524558736213,0.9125199317932129,33.88445706339201,0.9150198698043823,1.0046905556895274
bottle,3,texture,0.005035400390625,defocus,2,nlm,classical,0.9060416221618652,0.974073468032817,-0.1677627896342666,33.446268653975714,33.30488448248915,0.9299913048744202,33.88445706339201,0.9150198698043823,0.9901879205700347
bottle,3,texture,0.005035400390625,defocus,2,clahe,classical,1.061643362045288,1.1132749145186678,-2.9728936227245133,24.22698314532761,24.217287305376995,0.871467113494873,33.88445706339201,0.9150198698043823,1.1602407740853231
bottle,3,texture,0.005035400390625,defocus,2,msrcr,classical,0.6845049858093262,0.604367922435932,-6.135134538516725,21.903078196276784,21.902740941838402,0.8287713527679443,33.88445706339201,0.9150198698043823,0.7480766357081002
bottle,3,texture,0.005035400390625,defocus,2,wiener,classical,0.2579076886177063,0.21533213430369694,-21.597070347915896,9.704379268539078,9.695012285892835,0.18924230337142944,33.88445706339201,0.9150198698043823,0.28186020558530944
bottle,3,texture,0.005035400390625,defocus,2,classical_pipeline,classical,0.15585358440876007,0.49921774696586146,-36.13526068069473,7.321072061096732,7.32648081076894,0.11594220250844955,33.88445706339201,0.9150198698043823,0.17032808745681036
bottle,3,texture,0.005035400390625,defocus,3,identity,classical,0.8765609860420227,1.0,0.0,31.291164261866925,31.170935978942794,0.8942718505859375,31.170935978942794,0.8765609860420227,1.0
bottle,3,texture,0.005035400390625,defocus,3,gaussian,classical,0.857905924320221,0.9452549351421796,-0.17396263192551564,30.280131750402752,30.18067283335439,0.8787166476249695,31.170935978942794,0.8765609860420227,0.9787178963941393
bottle,3,texture,0.005035400390625,defocus,3,bilateral,classical,0.8803446888923645,1.0138481592035185,-0.04257262297963438,30.99367440726338,30.88897183569236,0.8806309103965759,31.170935978942794,0.8765609860420227,1.0043165312061475
bottle,3,texture,0.005035400390625,defocus,3,nlm,classical,0.8670610785484314,0.974845443840076,-0.08942195439961598,31.018355818321766,30.90736236916897,0.8898910880088806,31.170935978942794,0.8765609860420227,0.9891622971534625
bottle,3,texture,0.005035400390625,defocus,3,clahe,classical,1.1664612293243408,1.3859006613710256,-1.6383867506512653,24.343664388338254,24.297836752553014,0.848844587802887,31.170935978942794,0.8765609860420227,1.3307245564182801
bottle,3,texture,0.005035400390625,defocus,3,msrcr,classical,0.6517634391784668,0.603311927116839,-3.592378948583481,22.16665995978409,22.157523459233595,0.8110780119895935,31.170935978942794,0.8765609860420227,0.7435460276659187
bottle,3,texture,0.005035400390625,defocus,3,wiener,classical,0.557709813117981,0.16304465650943983,-4.625611454925613,15.639731124661129,15.627953691342373,0.4795092046260834,31.170935978942794,0.8765609860420227,0.6362475880157916
bottle,3,texture,0.005035400390625,defocus,3,classical_pipeline,classical,0.28155872225761414,0.739520277641539,-20.81828370249304,8.448600319937276,8.459902680301056,0.2332216501235962,31.170935978942794,0.8765609860420227,0.3212083662643367
bottle,3,texture,0.005035400390625,defocus,4,identity,classical,0.8212924003601074,1.0,0.0,28.168384895030396,28.092574917789165,0.8254629969596863,28.092574917789165,0.8212924003601074,1.0
bottle,3,texture,0.005035400390625,defocus,4,gaussian,classical,0.8089590072631836,0.9547488777906139,-0.07834181247093985,27.618397268718084,27.552096521860076,0.8131929039955139,28.092574917789165,0.8212924003601074,0.9849829450613252
bottle,3,texture,0.005035400390625,defocus,4,bilateral,classical,0.822852611541748,1.0117985691791902,-0.032678101296873985,27.96669616766374,27.898422456482997,0.8147826194763184,28.092574917789165,0.8212924003601074,1.0018997024457508
bottle,3,texture,0.005035400390625,defocus,4,nlm,classical,0.8122440576553345,0.9716501104533166,-0.05290133228497562,28.032463399511087,27.961746000497826,0.8234279751777649,28.092574917789165,0.8212924003601074,0.9889827999129109
bottle,3,texture,0.005035400390625,defocus,4,clahe,classical,1.2672934532165527,1.8276656200295238,-0.7708128682490356,24.017200183052367,23.93102090730979,0.8143973350524902,28.092574917789165,0.8212924003601074,1.5430478264024965
bottle,3,texture,0.005035400390625,defocus,4,msrcr,classical,0.6061809062957764,0.6108261695970252,-1.8947198953550957,22.353294585268443,22.332667959250195,0.7821244597434998,28.092574917789165,0.8212924003601074,0.7380817185572247
bottle,3,texture,0.005035400390625,defocus,4,wiener,classical,0.430075079202652,0.19184214413466144,-3.108139997663689,14.577219543027969,14.56806577787779,0.4955918490886688,28.092574917789165,0.8212924003601074,0.5236564699905654
bottle,3,texture,0.005035400390625,defocus,4,classical_pipeline,classical,0.22624224424362183,0.46594614809044566,-13.291707383823717,8.336037822522854,8.347884883305838,0.2586965262889862,28.092574917789165,0.8212924003601074,0.27547100660425283
bottle,3,texture,0.005035400390625,defocus,5,identity,classical,0.7644912004470825,1.0,0.0,25.60407790995804,25.55731715878369,0.743510901927948,25.55731715878369,0.7644912004470825,1.0
bottle,3,texture,0.005035400390625,defocus,5,gaussian,classical,0.7552124261856079,0.9594416517872723,-0.03832330639957693,25.325271406405975,25.28173933875902,0.7350086569786072,25.55731715878369,0.7644912004470825,0.9878628109047582
bottle,3,texture,0.005035400390625,defocus,5,bilateral,classical,0.7637383937835693,1.0070381287330714,-0.01942074701537977,25.527076997723203,25.482756486331716,0.7347881197929382,25.55731715878369,0.7644912004470825,0.9990152840698847
bottle,3,texture,0.005035400390625,defocus,5,nlm,classical,0.7559797167778015,0.9701572647737642,-0.044209502201508766,25.485338787814804,25.441746242960907,0.7380166053771973,25.55731715878369,0.7644912004470825,0.9888664726758092
bottle,3,texture,0.005035400390625,defocus,5,clahe,classical,1.2657867670059204,2.207480969715424,-0.44239101435306116,23.172975334869754,23.096135675570252,0.7471197247505188,25.55731715878369,0.7644912004470825,1.6557244429571916
bottle,3,texture,0.005035400390625,defocus,5,msrcr,classical,0.5591429471969604,0.6206822800137063,-1.2241253983138272,21.85404477181161,21.829051200956467,0.718364953994751,25.55731715878369,0.7644912004470825,0.7313922604602483
bottle,3,texture,0.005035400390625,defocus,5,wiener,classical,0.25891849398612976,0.9192877972503002,-2.780947854686505,12.980966830275635,12.979933984815617,0.5078596472740173,25.55731715878369,0.7644912004470825,0.33868080343463924
bottle,3,texture,0.005035400390625,defocus,5,classical_pipeline,classical,0.15104836225509644,0.33725193384507973,-9.616128866836789,8.180783068071975,8.193567142191352,0.2993158996105194,25.55731715878369,0.7644912004470825,0.19758024967031898
bottle,3,texture,0.005035400390625,motion,1,identity,classical,0.9590156078338623,1.0,0.0,38.31079923460988,38.14903502621896,0.9774205088615417,38.14903502621896,0.9590156078338623,1.0
bottle,3,texture,0.005035400390625,motion,1,gaussian,classical,0.9116805195808411,0.8797719461034544,-1.029984195919622,33.898925607107934,33.75300032228304,0.9387686848640442,38.14903502621896,0.9590156078338623,0.9506420042944479
bottle,3,texture,0.005035400390625,motion,1,bilateral,classical,0.9636533856391907,1.007707187067607,-0.45674724294023217,36.070042185117444,35.98488428656216,0.9468884468078613,38.14903502621896,0.9590156078338623,1.0048359773995794
bottle,3,texture,0.005035400390625,motion,1,nlm,classical,0.9491621255874634,0.9770728769006547,-0.4600861854001794,36.73864960938334,36.62235727718665,0.9681522250175476,38.14903502621896,0.9590156078338623,0.9897254203519638
bottle,3,texture,0.005035400390625,motion,1,clahe,classical,1.0532090663909912,1.0176898227880669,-7.113273544494412,23.623918833111436,23.629095183709396,0.8794165253639221,38.14903502621896,0.9590156078338623,1.0982189004930634
bottle,3,texture,0.005035400390625,motion,1,msrcr,classical,0.7189639806747437,0.6158343051950191,-13.221671390391979,21.612802461418717,21.622649814067806,0.8369535803794861,38.14903502621896,0.9590156078338623,0.7496895512458598
bottle,3,texture,0.005035400390625,motion,1,wiener,classical,0.572415828704834,0.006459944104470971,-20.904685931705604,13.697033922477068,13.681285564358138,0.3896600902080536,38.14903502621896,0.9590156078338623,0.5968785325587714
bottle,3,texture,0.005035400390625,motion,1,classical_pipeline,classical,0.3308035135269165,0.28909384741018507,-64.94376075486785,8.082172698610963,8.092298779519693,0.19424700736999512,38.14903502621896,0.9590156078338623,0.3449406983835285
bottle,3,texture,0.005035400390625,motion,2,identity,classical,0.9460135102272034,1.0,0.0,32.48146720146996,32.43193093468914,0.9198763370513916,32.43193093468914,0.9460135102272034,1.0
bottle,3,texture,0.005035400390625,motion,2,gaussian,classical,0.9055057168006897,0.89091450237042,-0.2842035943290533,31.05279929183039,30.98410980033424,0.8963584303855896,32.43193093468914,0.9460135102272034,0.9571805339050761
bottle,3,texture,0.005035400390625,motion,2,bilateral,classical,0.9491842985153198,1.0092866908516525,-0.09901746443760406,31.978334384106955,31.938633298890963,0.9015178680419922,32.43193093468914,0.9460135102272034,1.0033517367921678
bottle,3,texture,0.005035400390625,motion,2,nlm,classical,0.9364336133003235,0.9767200547443481,-0.13509929176729596,32.10520556945592,32.05932023599138,0.914400041103363,32.43193093468914,0.9460135102272034,0.9898734036847116
bottle,3,texture,0.005035400390625,motion,2,clahe,classical,1.0437308549880981,1.0551913601830805,-2.3698456569691997,23.977331012686157,23.977705489108203,0.8549986481666565,32.43193093468914,0.9460135102272034,1.1032938152621372
bottle,3,texture,0.005035400390625,motion,2,msrcr,classical,0.714112401008606,0.6887885886701975,-4.891368244823532,21.885846585768654,21.89411006495865,0.8165807723999023,32.43193093468914,0.9460135102272034,0.7548649076238859
bottle,3,texture,0.005035400390625,motion,2,wiener,classical,0.5908629894256592,0.15142929621464588,-6.174721630679153,15.452436776650075,15.4391772708985,0.4610065519809723,32.43193093468914,0.9460135102272034,0.6245819779928429
bottle,3,texture,0.005035400390625,motion,2,classical_pipeline,classical,0.30577683448791504,0.5524130203090238,-26.223256449213878,8.412830425166815,8.423922906993969,0.20973818004131317,32.43193093468914,0.9460135102272034,0.32322670995943475
bottle,3,texture,0.005035400390625,motion,3,identity,classical,0.9123749136924744,1.0,0.0,28.40361790820119,28.374515157690876,0.8474476337432861,28.374515157690876,0.9123749136924744,1.0
bottle,3,texture,0.005035400390625,motion,3,gaussian,classical,0.8814904093742371,0.9072579740073174,-0.11759829250033849,27.84570060336824,27.809525114507352,0.8291000723838806,28.374515157690876,0.9123749136924744,0.9661493275902945
bottle,3,texture,0.005035400390625,motion,3,bilateral,classical,0.9157360792160034,1.0116846660977763,-0.04831886183145073,28.19292255912588,28.16826087314051,0.8311086297035217,28.374515157690876,0.9123749136924744,1.0036839740693067
bottle,3,texture,0.005035400390625,motion,3,nlm,classical,0.9023760557174683,0.9740731342369381,-0.07625413790589852,28.21373126903333,28.18527030468839,0.8409090042114258,28.374515157690876,0.9123749136924744,0.9890408451340034
bottle,3,texture,0.005035400390625,motion,3,clahe,classical,1.1784069538116455,1.2871703121427396,-1.0685568519247748,23.676315702809543,23.63353483719631,0.8157336115837097,28.374515157690876,0.9123749136924744,1.2915819320837223
bottle,3,texture,0.005035400390625,motion,3,msrcr,classical,0.6907585263252258,0.78529895655674,-2.4834157861182344,21.780929670673,21.785678482950942,0.7790851593017578,28.374515157690876,0.9123749136924744,0.7570994291476687
bottle,3,texture,0.005035400390625,motion,3,wiener,classical,0.34391453862190247,0.3220953637594545,-4.329973383955628,13.476041116446266,13.467649271891784,0.4928896427154541,28.374515157690876,0.9123749136924744,0.37694431692564323
bottle,3,texture,0.005035400390625,motion,3,classical_pipeline,classical,0.21626316010951996,0.014714435957324095,-15.41773266476319,8.204715460731562,8.216928954682817,0.2659967243671417,28.374515157690876,0.9123749136924744,0.23703321613072512
bottle,3,texture,0.005035400390625,motion,4,identity,classical,0.7632887959480286,1.0,0.0,25.58945558529213,25.53519961301062,0.7661582827568054,25.53519961301062,0.7632887959480286,1.0
bottle,3,texture,0.005035400390625,motion,4,gaussian,classical,0.7514943480491638,0.9525911328301726,-0.05917660846868089,25.35095969842553,25.300035672027747,0.7553374767303467,25.53519961301062,0.7632887959480286,0.98454785664158
