run_name : train_pcim_cpu
device   : cpu
smoke    : False
[train_pcim_cpu] loss scale factors (calibrated at step 1): {'rec': 0.2663, 'deg': 0.1527, 'freq': 0.0028, 'pres': 0.5373}
[train_pcim_cpu] step 7300/15000  total=0.3082  rel_drr=0.923
[train_pcim_cpu] step 7350/15000  total=0.3353  rel_drr=0.923
[train_pcim_cpu] step 7400/15000  total=0.3959  rel_drr=0.923
[train_pcim_cpu] step 7450/15000  total=0.2291  rel_drr=0.923
[train_pcim_cpu] step 7500/15000  total=0.1664  rel_drr=0.935
[train_pcim_cpu] step 7550/15000  total=0.2295  rel_drr=0.935
[train_pcim_cpu] step 7600/15000  total=0.6332  rel_drr=0.935
[train_pcim_cpu] step 7650/15000  total=0.1573  rel_drr=0.935
[train_pcim_cpu] step 7700/15000  total=0.2615  rel_drr=0.935
[train_pcim_cpu] step 7750/15000  total=0.2269  rel_drr=0.935
[train_pcim_cpu] step 7800/15000  total=0.4696  rel_drr=0.935
[train_pcim_cpu] step 7850/15000  total=0.1674  rel_drr=0.935
[train_pcim_cpu] step 7900/15000  total=0.3571  rel_drr=0.897
[train_pcim_cpu] step 7950/15000  total=0.3364  rel_drr=0.897
[train_pcim_cpu] step 8000/15000  total=0.2480  rel_drr=0.897
[train_pcim_cpu] step 8050/15000  total=0.1478  rel_drr=0.897
[train_pcim_cpu] step 8100/15000  total=0.1374  rel_drr=0.897
[train_pcim_cpu] step 8150/15000  total=0.1778  rel_drr=0.897
[train_pcim_cpu] step 8200/15000  total=0.3990  rel_drr=0.897
[train_pcim_cpu] step 8250/15000  total=0.1992  rel_drr=0.777
[train_pcim_cpu] step 8300/15000  total=0.1558  rel_drr=0.777
[train_pcim_cpu] step 8350/15000  total=0.2697  rel_drr=0.777
[train_pcim_cpu] step 8400/15000  total=0.3036  rel_drr=0.777
[train_pcim_cpu] step 8450/15000  total=0.2728  rel_drr=0.777
[train_pcim_cpu] step 8500/15000  total=0.3124  rel_drr=0.777
[train_pcim_cpu] step 8550/15000  total=0.2933  rel_drr=0.777
[train_pcim_cpu] step 8600/15000  total=0.3573  rel_drr=0.777
[train_pcim_cpu] step 8650/15000  total=0.1520  rel_drr=0.727
[train_pcim_cpu] step 8700/15000  total=0.2037  rel_drr=0.727
[train_pcim_cpu] step 8750/15000  total=0.2212  rel_drr=0.727
[train_pcim_cpu] step 8800/15000  total=0.2522  rel_drr=0.727
[train_pcim_cpu] step 8850/15000  total=0.0967  rel_drr=0.727
[train_pcim_cpu] step 8900/15000  total=0.1892  rel_drr=0.727
[train_pcim_cpu] step 8950/15000  total=0.2116  rel_drr=0.727
[train_pcim_cpu] step 9000/15000  total=0.2700  rel_drr=0.856
[train_pcim_cpu] step 9050/15000  total=0.3144  rel_drr=0.856
[train_pcim_cpu] step 9100/15000  total=0.1659  rel_drr=0.856
[train_pcim_cpu] step 9150/15000  total=0.2987  rel_drr=0.856
[train_pcim_cpu] step 9200/15000  total=0.2652  rel_drr=0.856
[train_pcim_cpu] step 9250/15000  total=0.4115  rel_drr=0.856
[train_pcim_cpu] step 9300/15000  total=0.2068  rel_drr=0.856
[train_pcim_cpu] step 9350/15000  total=0.2576  rel_drr=0.856
[train_pcim_cpu] step 9400/15000  total=0.2497  rel_drr=0.932
[train_pcim_cpu] step 9450/15000  total=0.1551  rel_drr=0.932
[train_pcim_cpu] step 9500/15000  total=0.2803  rel_drr=0.932
[train_pcim_cpu] step 9550/15000  total=0.3486  rel_drr=0.932
[train_pcim_cpu] step 9600/15000  total=0.2395  rel_drr=0.932
[train_pcim_cpu] step 9650/15000  total=0.1772  rel_drr=0.932
[train_pcim_cpu] step 9700/15000  total=0.2021  rel_drr=0.932
[train_pcim_cpu] step 9750/15000  total=0.3663  rel_drr=0.913
[train_pcim_cpu] step 9800/15000  total=0.2138  rel_drr=0.913
[train_pcim_cpu] step 9850/15000  total=0.2441  rel_drr=0.913
[train_pcim_cpu] step 9900/15000  total=0.2267  rel_drr=0.913
[train_pcim_cpu] step 9950/15000  total=0.2292  rel_drr=0.913
[train_pcim_cpu] step 10000/15000  total=0.4565  rel_drr=0.913
[train_pcim_cpu] step 10050/15000  total=0.2642  rel_drr=0.913
[train_pcim_cpu] step 10100/15000  total=0.0994  rel_drr=0.913
[train_pcim_cpu] step 10150/15000  total=0.1952  rel_drr=0.874
[train_pcim_cpu] step 10200/15000  total=0.3714  rel_drr=0.874
[train_pcim_cpu] step 10250/15000  total=0.2823  rel_drr=0.874
[train_pcim_cpu] step 10300/15000  total=0.2897  rel_drr=0.874
[train_pcim_cpu] step 10350/15000  total=0.2941  rel_drr=0.874
[train_pcim_cpu] step 10400/15000  total=0.2407  rel_drr=0.874
[train_pcim_cpu] step 10450/15000  total=0.1463  rel_drr=0.874
[train_pcim_cpu] step 10500/15000  total=0.2047  rel_drr=0.926
[train_pcim_cpu] step 10550/15000  total=0.2128  rel_drr=0.926
